pid,planid,liability,assets,inflation_assumption,discount,wage_inf,payroll,actives_tot,inactive,retired,ActiveSalary_avg,BeneficiaryBenefit_avg,reqcont employer,pctmale,avgageret,pctmrg,df,reduct,pen,ret_liability,inact_liability,PVFB,ncrate_tot
47,sf_gen18,27335417,23866027,0.03,0.074,0.03,3385517,33946,,29965,95.327,47.533,0.2519,0.5601,,,,,,,,,0.1771
48,sf_gen20,29499918,26695845,0.025,0.074,0.03,3703103,34521,2898,30128,103.8,52.708,0.2441,0.5601,,,,,,,,,0.1729
49,stl_edu18,1238153.321,886156.011,0.0275,0.0478,0.03,263772.38,5050,,4500,52.323,23.556,0.1874,,,,,,,,,,
50,stl_edu20,1221293,894772.2,0.0275,0.075,0.03,264676.8,4984,2561,4386,53.105,24.06,0.171,,,,,,,,,,
51,stl_edu19,1241617,888759.2,0.0275,0.075,0.03,272973.4,5108,83,4477,53.44,23.736,0.1818,,,,,,,,,,
52,stl_edu18,1676193,1067675,0.025,0.08,0.03,263122,3445,,4046,77.704,28.497,0.1673,,,,,,,,,,0.0826
53,stl_edu20,1691236,1090243,0.025,0.075,0.03,274667,3353,3560,4194,82.247,27.97,0.1766,,,,,,,,,,0.0827
54,stl_edu19,1691721,1079552,0.025,0.075,0.03,268614,3347,3274,4124,79.893,28.22,0.1759,,,,,,,,,,0.0824
55,la_gen19,20793421,14818564,0.03,0.0725,0.03,2225413,26632,523,20034,83.562,47.299,0.1509,0.72,,,,,,,,,0.1723
56,la_gen18,19944579.06,13982435.47,0.03,0.0725,0.03,2171687.102,26042,,19379,83.622,45.414,0.1508,0.72,,,,,,,,,0.1726
57,la_gen20,22527195,15630103,0.0275,0.07,0.03,2445017,27490,575,20423,88.942,49.196,0.1874,0.72,,,,,,,,,0.1908
58,la_ffp19,22474125,21037711,0.03,0.0725,0.03,1583808,13535,1663,13097,117.016,73.62,0.2546,0.72,,,,,,,,,0.2905
59,la_ffp18,21364804,19840070,0.0325,0.075,0.03,1546043,13442,,12890,115.016,71.1,0.2572,0.72,,,,,,,,,0.2856
60,la_ffp20,23727315,22106722,0.0275,0.07,0.03,1670245,13486,1690,13291,123.85,76.632,0.2496,0.72,,,,,,,,,0.2989
61,la_uty19,13811956,12739145,0.0275,0.07,0.03,1141876,10362,0,9315,110.198,63.496,0.3797,0.72,,,,,,,,,0.2307
62,la_uty18,13187542.73,12009999.03,0.03,0.0725,0.03,1073554.607,10114,,9165,106.145,60.982,0.4015,0.72,,,,,,,,,0.2266
63,la_uty20,14465350,13586121,0.0275,0.07,0.03,1211798,10778,0,9443,112.433,66.595,0.3355,0.72,,,,,,,,,0.2272
