pid,planid,liability,assets,inflation_assumption,discount,wage_inf,payroll,actives_tot,inactive,retired,ActiveSalary_avg,BeneficiaryBenefit_avg,reqcont employer,pctmale,avgageret,pctmrg,df,reduct,pen,ret_liability,inact_liability,PVFB,ncrate_tot
196,atl_fir19,979792.7,727344,0.0225,0.0741,0.03,51938.01,951,26,1086,52.396,45.874,0.4742,,,,,,,,,,0.2363
197,atl_fir18,852872.824,718133,0.0225,0.0741,0.03,49085.321,928,12,988,52.518,47.468,0.3183,,,,,,,,,,0.24303
198,atl_fir20,996909.2,716418,0.0225,0.0741,0.03,51562.2,888,940,1104,57.85,46.812,0.5358,,,,,,,,,,0.25636
199,chi_fir19,6256060,1137089,0.0225,0.07,0.03,457082.3,4630,30547,5128,98.722,66.865,0.77695,0.71344305,,,,,,,,,0.2165
200,chi_fir18,6155919.204,1130369.929,0.0225,,0.03,456969.301,4487,92,5022,98.243,63.838,0.53614,0.71344305,,,,,,,,,0.216
201,chi_fir20,6570504,1275913,0.0225,0.07,0.03,500367.9,4697,124,5221,106.529,69.495,0.75035,0.71344305,,,,,,,,,0.1961
202,kc_edu19,1020122,645373.2,0.0275,0.0775,0.03,217255.3,4074,0,4145,53.327,19.565,0.12,,,,,,,,,,0.0946
203,kc_edu20,997587.4,663210.6,0.0225,0.0725,0.03,228084.6,4108,0,4099,55.522,19.575,0.12,,,,,,,,,,0.0963
204,kc_edu18,988234.763,654259.324,0.0275,0.0757,0.03,196277.971,3898,,4113,52.158,19.482,0.105,,,,,,,,,,0.0915
205,hou_pol19,6655143,5434933,0.0275,0.07,0.03,454696,5282,196,4494,86.084,52.098,0.3184,,,,,,,,,,0.2397
206,hou_pol18,6463872,5128835,0.0275,,0.03,438396,5226,29,4367,83.887,51.814,0.3182,,,,,,,,,,0.2401
207,hou_pol20,6835682,5631533,0.0275,0.07,0.03,471903,5319,156,4622,88.72,52.675,0.3192,,,,,,,,,,0.2398
208,wic_ffp19,788446.6,722197.4,0.0275,0.076,0.03,73891.09,1094,178,1044,67.542,35.868,0.226,,,,,,,,,,0.232
209,wic_ffp18,762085,690969,0.0275,0.0731,0.03,72017,1067,39,1015,67.495,34.864,0.219,,,,,,,,,,0.217
210,wic_ffp20,813745.9,766121.9,0.0275,0.07,0.03,75880.11,1116,2552,1060,67.993,37.198,0.209,,,,,,,,,,0.234
211,nyc_edu19,5266066,,0.025,0.07,0.03,1264079,25864,12459,18041,,,,0.42,,,,,,,,,
212,nyc_edu18,5103583,3908833,0.025,0.07,0.03,1280302,25864,,18041,49.501,14.047,0.20113,0.42,,,,,,,,,0.14053
213,nyc_edu20,5460141,,0.025,0.07,0.03,1353266,25864,12459,18041,51.276,,0.1766,0.42,,,,,,,,,
214,jax_ffp19,4036925,1946967,0.025,0.07,0.03,174125,2301,526,3045,75.921,63.365,0.8327,,,,,,,,,,0.463
215,jax_ffp18,3880073,1865496,0.025,0.07,0.03,162004,2384,82,3010,68.212,56.003,0.8457,,,,,,,,,,0.4642
216,jax_ffp20,4253525,2041049,0.0225,0.069,0.03,174186,2236,668,3067,78.093,59.257,0.8823,,,,,,,,,,0.4632
217,bal_gen19,2515137,1835157,0.0255,0.0672,0.03,419686,8204,0,9267,51.156,16.751,0.2207,0.463,,,,,,,,,0.0752
218,bal_gen18,2410614.058,1785356.033,0.0265,0.0693,0.03,403454.892,8013,,9203,50.35,16.402,0.2155,0.463,,,,,,,,,0.0727
219,bal_gen20,2567399,1881338,0.0255,0.07,0.03,437242.4,8204,1044,9262,53.296,17.272,0.2256,0.463,,,,,,,,,0.0754
220,kc_pol18,1161789,886676.4,0.03,,0.03,91598,1284,33,1332,41.6,,0.3036,,,,,,,,,,0.2598
221,sa_ffp18,3749251,3297011,0.03,,0.03,335065.9,4042,1,2779,41.9,68.1,0.233722,,,,,,,,,,0.2442
222,stl_fir18,473844.7,473844.7,0.03,,0.03,34509.07,520,,894,,,0,,,,,,,,,,
223,no_fir18,416164.8,42194.61,,,0.03,27762.48,513,,0,,,1.809582,,,,,,,,,,0.224197
