,5,10,15,55,,,,,,,
25,27.5,15,0,0,,,,,,,
30,23,11.5,7.5,7.5,,,,,,,
35,21.5,10,6,6,,,,,,,
40,19.5,9.5,4.75,4.75,,,,,,,
45,18.6,9,4,4,,,,,,,
50,16.6,7.25,4.25,4.25,,,,,,,
55,14.5,7,4.75,4.75,,,,,,,
60,14,6,4.75,4.75,,,,,,,
65,15,10,4.75,4.75,,,,,,,
70,15,10,4.75,4.75,,,,,,,
,,,,,,,,,,,
