3.47926498644442E-02,5.0205843960237E-05,0,0,0,0,0,0,0,0,0
6.28075107942564E-02,1.21247113163972E-02,0,0,0,0,0,0,0,0,0
4.66914348830204E-02,3.24580781202932E-02,1.39070187769856E-02,1.50617531880711E-04,0,0,0,0,0,0,0
3.94868962747264E-02,2.28938648458681E-02,3.49181644743448E-02,1.12712119690732E-02,0,0,0,0,0,0,0
3.76041771262175E-02,2.01074405060749E-02,2.22662917963651E-02,3.09770057234662E-02,7.65639120393614E-03,0,0,0,0,0,0
3.55206346018677E-02,0.02118686615122,2.32202028316096E-02,2.40234963349734E-02,2.52535395119992E-02,9.11236067878301E-03,4.01646751681896E-04,0,0,0,0
2.78642433979315E-02,1.72959132443016E-02,2.10111456973592E-02,0.022667938548047,1.44341801385681E-02,2.34963349733909E-02,1.01164775579878E-02,3.76543829701777E-04,0,0,0
2.25675268601265E-02,1.51370619540114E-02,1.92037353147906E-02,2.52535395119992E-02,1.60156642233156E-02,1.89527060949895E-02,2.31197911436891E-02,7.05392107641329E-03,3.01235063761422E-04,0,0
1.36057837132242E-02,1.03675067777889E-02,0.013354754493423,1.78732804498444E-02,1.35053720253037E-02,1.38066070890652E-02,1.01917863239281E-02,8.78602269304147E-03,2.46008635405161E-03,0,0
5.82387789938749E-03,3.28848277939552E-03,4.39301134652074E-03,5.04568731800382E-03,3.96626167285872E-03,3.86584998493825E-03,2.9872477156341E-03,2.05843960236972E-03,2.28436590019078E-03,0,0
3.28848277939552E-03,8.53499347324029E-04,8.53499347324029E-04,8.03293503363792E-04,6.27573049502962E-04,9.28808113264384E-04,4.51852595642133E-04,2.76132141781303E-04,5.0205843960237E-04,0,0
