plan,target,status,score,exact,close,wrong,missing,extra,totals,n_tables,n_attempts,crash,run_dir,ppd
chi_edu,Sep_Rate,scored,0.6484,59,0,32,0,0,none,1,1,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_batch_round3/chi_edu_Sep_Rate_20260729_141915,
chi_edu,Avg_Mort,unavailable,,,,,,,none,3,2,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_batch_round3/chi_edu_Avg_Mort_20260729_141942,
chi_edu,Retirement,crash,,,,,,,,,8,"response still violates the contract after 8 attempts: | col_map[1] ('AverageBenefit'): ratio takes exactly TWO sources [numerator, denominator] (e.g. the total-dollars column then the count column). If the document prints the dollars AND the counts once per GROUP (per sex, per tier) with no printed",/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_batch_round3/chi_edu_Retirement_20260729_142024,
chi_ff,Age_Serv_Num,scored,1.0,47,0,0,0,0,clean,1,2,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_batch_round3/chi_ff_Age_Serv_Num_20260729_142254,ok
chi_ff,Age_Serv_Wage,crash,,,,,,,,,8,"response still violates the contract after 8 attempts: | source_tables[0].cells has 13 rows but 12 row_labels - exactly ONE extra. The extra row is almost always the printed grand-TOTAL line ('Total', 'All Members') at the bottom of the exhibit. A total is NOT an age/service bin: REMOVE that row fro",/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_batch_round3/chi_ff_Age_Serv_Wage_20260729_142343,
chi_ff,Ret_Rate,crash,,,,,,,,,8,"response still violates the contract after 8 attempts: | col_map references 1 source label(s) that do NOT exist in source_tables[0]: ['Hired before January 1, 2011 - Firefighters']. Code matches these EXACTLY against the table's own labels and silently yields an empty cell when there is no match, so",/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_batch_round3/chi_ff_Ret_Rate_20260729_142716,
chi_ff,Sep_Rate,scored,0.9451,86,0,5,0,0,none,1,2,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_batch_round3/chi_ff_Sep_Rate_20260729_144450,
chi_ff,Avg_Mort,unavailable,,,,,,,none,1,8,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_batch_round3/chi_ff_Avg_Mort_20260729_144543,
chi_ff,Retirement,scored,1.0,22,0,0,0,0,clean,1,1,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_batch_round3/chi_ff_Retirement_20260729_145740,
chi_gen,Age_Serv_Num,scored,0.9831,58,0,1,0,0,clean,1,1,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_batch_round3/chi_gen_Age_Serv_Num_20260729_145812,ok
chi_gen,Age_Serv_Wage,crash,,,,,,,,,8,response still violates the contract after 8 attempts: | source_tables[0].cells has 24 rows = EXACTLY 2x its 12 row_labels: this is an INTERLEAVED exhibit that prints several lines per age band (a member-COUNT line and a dollar line - average pay or total salary). Do NOT flatten them into one table.,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_batch_round3/chi_gen_Age_Serv_Wage_20260729_145849,
chi_gen,Ret_Rate,crash,,,,,,,,,7,"response still violates the contract after 7 attempts: | output-limit truncation (64000 tok): content=174277 chars, 1 source_tables, ~0 cell-rows, late-window recurs 364x -> LIKELY LOOP. [full text -> /orcd/scratch/orcd/011/ncomati/dumps/truncated_0_174277.txt] HEAD: '{   ""source_tables"": [     {   ",/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_batch_round3/chi_gen_Ret_Rate_20260729_150332,
chi_gen,Sep_Rate,scored,0.8022,73,0,18,0,0,none,1,2,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_batch_round3/chi_gen_Sep_Rate_20260729_151333,
chi_gen,Avg_Mort,crash,,,,,,,,,8,"response still violates the contract after 8 attempts: | col_map[0] ('Death_Prob'): group_weighted requires weights_tables - a list of 1 source_tables indices, ONE PER SOURCE and in the same order, each pointing at a transcribed headcount table. They do NOT have to be different: when a single member",/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_batch_round3/chi_gen_Avg_Mort_20260729_151427,
chi_gen,Retirement,scored,1.0,22,0,0,0,0,clean,1,1,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_batch_round3/chi_gen_Retirement_20260729_152131,
chi_pol,Age_Serv_Num,crash,,,,,,,,,,object of type 'int' has no len(),/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_batch_round3/chi_pol_Age_Serv_Num_20260729_152156,
chi_pol,Age_Serv_Wage,scored,0.8684,33,1,3,1,1,suspect,2,9,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_batch_round3/chi_pol_Age_Serv_Wage_20260729_152248,
chi_pol,Ret_Rate,crash,,,,,,,,,8,"response still violates the contract after 8 attempts: | output-limit truncation (64000 tok): content=172642 chars, 1 source_tables, ~0 cell-rows, late-window recurs 955x -> LIKELY LOOP. [full text -> /orcd/scratch/orcd/011/ncomati/dumps/truncated_1002_172642.txt] HEAD: '{   ""source_tables"": [     {",/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_batch_round3/chi_pol_Ret_Rate_20260729_154016,
chi_pol,Sep_Rate,scored,0.7791,67,0,19,0,7,none,1,1,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_batch_round3/chi_pol_Sep_Rate_20260729_155012,
chi_pol,Avg_Mort,crash,,,,,,,,,8,"response still violates the contract after 8 attempts: | source_tables[0].values_unit must be 'percent', 'per_1000', or null (a printed rate scaled as % or per-1,000; else null)",/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_batch_round3/chi_pol_Avg_Mort_20260729_155035,
chi_pol,Retirement,scored,1.0,22,0,0,0,0,clean,1,1,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_batch_round3/chi_pol_Retirement_20260729_155245,
clt_ff,Age_Serv_Num,crash,,,,,,,,,,object of type 'int' has no len(),/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_batch_round3/clt_ff_Age_Serv_Num_20260729_155312,
clt_ff,Age_Serv_Wage,production,,,,,,,none,2,2,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_batch_round3/clt_ff_Age_Serv_Wage_20260729_155342,
clt_ff,Ret_Rate,crash,,,,,,,,,,object of type 'int' has no len(),/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_batch_round3/clt_ff_Ret_Rate_20260729_155419,
clt_ff,Sep_Rate,production,,,,,,,none,1,1,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_batch_round3/clt_ff_Sep_Rate_20260729_160134,
