planid,cityabv,plantype,fy,tier,tierid,agemin,agemax,servmin,servmax,employee,inactive
sf_gen19,sf,gen,19,2,sf_gen19_t2,35,39,0,4,112,
sf_gen19,sf,gen,19,2,sf_gen19_t2,40,44,0,4,44,
sf_gen19,sf,gen,19,2,sf_gen19_t2,45,49,0,4,13,
sf_gen19,sf,gen,19,2,sf_gen19_t2,50,54,0,4,9,
sf_gen19,sf,gen,19,2,sf_gen19_t2,55,59,0,4,1,
sf_gen19,sf,gen,19,2,sf_gen19_t2,60,64,0,4,0,
sf_gen19,sf,gen,19,2,sf_gen19_t2,65,70,0,4,1,
sf_gen19,sf,gen,19,2,sf_gen19_t2,20,24,5,9,0,
sf_gen19,sf,gen,19,2,sf_gen19_t2,25,29,5,9,1,
sf_gen19,sf,gen,19,2,sf_gen19_t2,30,34,5,9,59,
sf_gen19,sf,gen,19,2,sf_gen19_t2,35,39,5,9,95,
sf_gen19,sf,gen,19,2,sf_gen19_t2,40,44,5,9,69,
sf_gen19,sf,gen,19,2,sf_gen19_t2,45,49,5,9,30,
sf_gen19,sf,gen,19,2,sf_gen19_t2,50,54,5,9,9,
sf_gen19,sf,gen,19,2,sf_gen19_t2,55,59,5,9,6,
sf_gen19,sf,gen,19,2,sf_gen19_t2,60,64,5,9,,
sf_gen19,sf,gen,19,2,sf_gen19_t2,65,70,5,9,,
sf_gen19,sf,gen,19,2,sf_gen19_t2,20,24,10,14,,
sf_gen19,sf,gen,19,2,sf_gen19_t2,25,29,10,14,,
sf_gen19,sf,gen,19,2,sf_gen19_t2,30,34,10,14,3,
sf_gen19,sf,gen,19,2,sf_gen19_t2,35,39,10,14,41,
sf_gen19,sf,gen,19,2,sf_gen19_t2,40,44,10,14,41,
sf_gen19,sf,gen,19,2,sf_gen19_t2,45,49,10,14,37,
sf_gen19,sf,gen,19,2,sf_gen19_t2,50,54,10,14,25,
sf_gen19,sf,gen,19,2,sf_gen19_t2,55,59,10,14,7,
sf_gen19,sf,gen,19,2,sf_gen19_t2,60,64,10,14,3,
sf_gen19,sf,gen,19,2,sf_gen19_t2,65,70,10,14,,
sf_gen19,sf,gen,19,2,sf_gen19_t2,20,24,15,19,,
sf_gen19,sf,gen,19,2,sf_gen19_t2,25,29,15,19,,
sf_gen19,sf,gen,19,2,sf_gen19_t2,30,34,15,19,,
sf_gen19,sf,gen,19,2,sf_gen19_t2,35,39,15,19,17,
sf_gen19,sf,gen,19,2,sf_gen19_t2,40,44,15,19,50,
sf_gen19,sf,gen,19,2,sf_gen19_t2,45,49,15,19,97,
sf_gen19,sf,gen,19,2,sf_gen19_t2,50,54,15,19,78,
sf_gen19,sf,gen,19,2,sf_gen19_t2,55,59,15,19,41,
sf_gen19,sf,gen,19,2,sf_gen19_t2,60,64,15,19,10,
sf_gen19,sf,gen,19,2,sf_gen19_t2,65,70,15,19,1,
sf_gen19,sf,gen,19,2,sf_gen19_t2,20,24,20,24,,
sf_gen19,sf,gen,19,2,sf_gen19_t2,25,29,20,24,,
sf_gen19,sf,gen,19,2,sf_gen19_t2,30,34,20,24,,
sf_gen19,sf,gen,19,2,sf_gen19_t2,35,39,20,24,,
sf_gen19,sf,gen,19,2,sf_gen19_t2,40,44,20,24,17,
sf_gen19,sf,gen,19,2,sf_gen19_t2,45,49,20,24,91,
sf_gen19,sf,gen,19,2,sf_gen19_t2,50,54,20,24,114,
sf_gen19,sf,gen,19,2,sf_gen19_t2,55,59,20,24,44,
sf_gen19,sf,gen,19,2,sf_gen19_t2,60,64,20,24,9,
sf_gen19,sf,gen,19,2,sf_gen19_t2,65,70,20,24,1,
sf_gen19,sf,gen,19,2,sf_gen19_t2,20,24,25,29,,
sf_gen19,sf,gen,19,2,sf_gen19_t2,25,29,25,29,,
sf_gen19,sf,gen,19,2,sf_gen19_t2,30,34,25,29,,
sf_gen19,sf,gen,19,2,sf_gen19_t2,35,39,25,29,,
sf_gen19,sf,gen,19,2,sf_gen19_t2,40,44,25,29,,
