9.72043132642795E-03,0,0,0,0,0,0,0,0,0,0
8.15751066271804E-02,1.65431538973829E-02,0,0,0,0,0,0,0,0,0
4.40253354682386E-02,7.30095078854519E-02,1.92566562283026E-02,0,0,0,0,0,0,0,0
2.02839612883114E-02,3.19810692474459E-02,8.57126663171468E-02,0.017910532356567,0,0,0,0,0,0,0
1.51190965383362E-02,1.58488373740666E-02,3.77835716208748E-02,6.92191064571437E-02,6.6385161464016E-03,0,0,0,0,0,0
1.28873648562481E-02,1.40563671659133E-02,2.34225553682003E-02,4.31893216952659E-02,3.87683675059867E-02,5.44825924928797E-03,0,0,0,0,0
7.79334873110113E-03,1.05564450994006E-02,1.92070621909229E-02,2.31745851813016E-02,1.91999773284401E-02,2.23031470959149E-02,6.36220650957165E-03,0,0,0,0
4.3146812520369E-03,6.53932807164213E-03,1.68336332591784E-02,2.33658764683378E-02,1.49561447012313E-02,1.25614611820385E-02,1.59763648987573E-02,2.63556884360875E-03,0,0,0
2.01210094512066E-03,3.30863077947657E-03,1.01313533504315E-02,1.91078741161634E-02,1.58559222365494E-02,1.05281056494693E-02,6.61726155895314E-03,7.25489918240687E-03,1.57992433366868E-03,0,0
7.01401385799102E-04,1.15483258469953E-03,4.06671106513823E-03,7.29740835730378E-03,6.96441982061128E-03,5.85918127329149E-03,3.32988536692503E-03,2.08294956994885E-03,3.96752299037876E-03,0,0
0,0,0,0,0,0,0,0,0,0,0
