plan,sheet,n_numeric_cells,signature,status,n_plans_sharing_signature,availableData_flag
GA28,mortality,601,976368d7,plan_specific,1,True
GA28,wagegrowth,226,6e88aa7f,plan_specific,1,True
GA28,withdrawal,356,202aaeab,plan_specific,1,True
GA28,retirement,1249,3e6402d8,plan_specific,1,False
GA28,refund,284,99d19109,shared_default,36,False
GA28,disability,286,8debf9a1,shared_default,35,False
IL32,ageservice,975,b016d294,plan_specific,1,True
IL32,retdist,518,2149557d,plan_specific,1,True
IL32,wagerel,610,2a5d5bb6,plan_specific,1,True
IL32,mortality,620,8b001719,plan_specific,1,True
IL32,wagegrowth,96,6d030c5e,plan_specific,1,True
IL32,withdrawal,238,02e53388,plan_specific,1,False
IL32,retirement,771,7aecc49c,plan_specific,1,True
IL32,refund,284,99d19109,shared_default,36,False
IL32,disability,286,8debf9a1,shared_default,35,False
IL33,ageservice,270,17ab53c6,plan_specific,1,True
IL33,retdist,104,8afbf873,plan_specific,1,True
IL33,wagerel,870,7d2a7b63,plan_specific,1,True
IL33,mortality,601,c5b5c2e7,plan_specific,1,False
IL33,wagegrowth,163,17c0c5e3,plan_specific,1,True
IL33,withdrawal,630,0da3dcff,plan_specific,1,True
IL33,retirement,474,aa3d0e10,plan_specific,1,True
IL33,refund,284,99d19109,shared_default,36,False
IL33,disability,286,8debf9a1,shared_default,35,False
IL34,ageservice,589,97d3bb13,plan_specific,1,True
IL34,retdist,136,0bf6717d,plan_specific,1,True
IL34,wagerel,220,2fcb1a76,plan_specific,1,True
IL34,mortality,110,a9b47faa,plan_specific,1,True
IL34,wagegrowth,171,0ab19ffa,plan_specific,1,True
IL34,withdrawal,345,711c4884,plan_specific,1,True
IL34,retirement,443,01654ddd,plan_specific,1,True
IL34,refund,285,294f1854,plan_specific,1,False
IL34,disability,286,8190fc9a,plan_specific,1,False
IN37,ageservice,473,8ea24194,plan_specific,1,True
IN37,retdist,372,f19f670d,plan_specific,1,True
IN37,wagerel,287,d24a1d83,plan_specific,1,True
IN37,mortality,601,a9c1f070,shared_default,3,True
IN37,wagegrowth,179,af1e03cd,plan_specific,1,True
IN37,withdrawal,337,998a9963,plan_specific,1,True
IN37,retirement,353,4c68e5a8,plan_specific,1,True
IN37,refund,284,99d19109,shared_default,36,False
IN37,disability,286,8debf9a1,shared_default,35,False
LA130,ageservice,273,7a399dab,plan_specific,1,True
LA130,retdist,218,050d413d,plan_specific,1,True
LA130,wagerel,272,20f8f38d,plan_specific,1,True
LA130,mortality,601,d19a6ed8,plan_specific,1,True
LA130,wagegrowth,149,5b1d8062,plan_specific,1,True
LA130,withdrawal,321,1ae27bbf,plan_specific,1,True
LA130,retirement,634,874ef65c,plan_specific,1,True
LA130,refund,284,99d19109,shared_default,36,False
LA130,disability,286,8debf9a1,shared_default,35,False
LA163,ageservice,289,0812801f,plan_specific,1,True
LA163,retdist,84,0aa857fc,plan_specific,1,True
LA163,wagerel,763,81da5a8e,plan_specific,1,True
LA163,mortality,601,cfe3270f,plan_specific,1,True
LA163,wagegrowth,143,ddf4e2eb,plan_specific,1,True
LA163,withdrawal,316,3104ac8d,plan_specific,1,True
LA163,retirement,298,77ad934b,plan_specific,1,True
LA163,refund,284,99d19109,shared_default,36,False
LA163,disability,286,8debf9a1,shared_default,35,False
LA44,ageservice,874,98bcaeed,plan_specific,1,True
LA44,retdist,402,b7db70b8,plan_specific,1,True
LA44,wagerel,944,eb24db41,plan_specific,1,True
LA44,mortality,596,c0dc9f7f,plan_specific,1,True
LA44,wagegrowth,259,431b1df9,plan_specific,1,True
LA44,withdrawal,430,2e005fcc,plan_specific,1,True
LA44,retirement,856,4f4e1389,plan_specific,1,False
LA44,refund,284,99d19109,shared_default,36,False
LA44,disability,286,8debf9a1,shared_default,35,False
MA50,ageservice,299,eb5a43dc,plan_specific,1,
MA50,retdist,116,f84fff2e,plan_specific,1,
MA50,wagerel,293,c0f3e378,plan_specific,1,
MA50,mortality,702,6ad93cac,plan_specific,1,
MA50,wagegrowth,230,c1e4c185,plan_specific,1,
MA50,withdrawal,308,855f14b5,plan_specific,1,
MA50,retirement,442,33ddca62,plan_specific,1,
MA50,refund,284,99d19109,shared_default,36,
MA50,disability,286,8debf9a1,shared_default,35,
MA51,ageservice,299,6819ac87,plan_specific,1,
MA51,retdist,114,68dca74e,plan_specific,1,
MA51,wagerel,723,fa6425e7,plan_specific,1,
MA51,mortality,496,fd0f0d8f,plan_specific,1,
MA51,wagegrowth,198,8aebd8bc,plan_specific,1,
MA51,withdrawal,325,e4aab6e0,plan_specific,1,
MA51,retirement,618,f51700e8,plan_specific,1,
MA51,refund,0,,absent,,
MA51,disability,0,,absent,,
ME47,ageservice,640,b806878f,plan_specific,1,True
ME47,retdist,181,77fe5794,plan_specific,1,True
ME47,wagerel,719,dcd5b306,plan_specific,1,True
ME47,mortality,601,a9c1f070,shared_default,3,True
ME47,wagegrowth,184,8d3432da,plan_specific,1,True
ME47,withdrawal,286,d0103325,plan_specific,1,True
ME47,retirement,316,852e132c,plan_specific,1,False
ME47,refund,284,99d19109,shared_default,36,False
ME47,disability,286,8debf9a1,shared_default,35,False
MI53,ageservice,442,16340559,plan_specific,1,True
MI53,retdist,66,87818899,plan_specific,1,True
MI53,wagerel,1113,e78a2b7a,plan_specific,1,True
MI53,mortality,601,009452db,plan_specific,1,True
MI53,wagegrowth,143,bd03f492,plan_specific,1,True
MI53,withdrawal,286,1132c881,plan_specific,1,True
MI53,retirement,632,f48b3ca1,plan_specific,1,True
MI53,refund,284,99d19109,shared_default,36,False
MI53,disability,286,8debf9a1,shared_default,35,False
MO175,ageservice,323,99bd3d38,plan_specific,1,True
MO175,retdist,509,0000b11a,plan_specific,1,True
MO175,wagerel,207,9139df25,plan_specific,1,True
MO175,mortality,1203,81d45f6d,plan_specific,1,True
MO175,wagegrowth,204,06a4a1f3,plan_specific,1,True
MO175,withdrawal,286,a1bee9a8,plan_specific,1,True
MO175,retirement,370,b6741e53,plan_specific,1,True
MO175,refund,284,99d19109,shared_default,36,False
MO175,disability,286,8debf9a1,shared_default,35,False
MO64,ageservice,232,1604840d,plan_specific,1,
MO64,retdist,170,78c7da70,plan_specific,1,
MO64,wagerel,600,6bc343c0,plan_specific,1,
MO64,mortality,643,e70731cf,plan_specific,1,
MO64,wagegrowth,328,3d0e7b30,plan_specific,1,
MO64,withdrawal,315,6c05e205,plan_specific,1,
MO64,retirement,806,82fe8df3,plan_specific,1,
MO64,refund,284,99d19109,shared_default,36,
MO64,disability,286,8debf9a1,shared_default,35,
ND82,ageservice,406,d9fff30e,plan_specific,1,True
ND82,retdist,134,d3fa5737,plan_specific,1,True
ND82,wagerel,143,9ce9a2f5,plan_specific,1,True
ND82,mortality,601,cd555cce,plan_specific,1,True
ND82,wagegrowth,191,fcb9dc7f,plan_specific,1,True
ND82,withdrawal,343,e23a6cce,plan_specific,1,True
ND82,retirement,340,71baafc9,plan_specific,1,True
ND82,refund,284,99d19109,shared_default,36,False
ND82,disability,286,8debf9a1,shared_default,35,False
NJ71,ageservice,402,4b6e75be,plan_specific,1,True
NJ71,retdist,596,a4a80550,plan_specific,1,True
NJ71,wagerel,790,b69c7f10,plan_specific,1,True
NJ71,mortality,601,de501b77,plan_specific,1,False
NJ71,wagegrowth,209,86a16fa5,plan_specific,1,True
NJ71,withdrawal,380,89258fda,plan_specific,1,True
NJ71,retirement,305,3e566ad2,plan_specific,1,False
NJ71,refund,284,99d19109,shared_default,36,False
NJ71,disability,286,8debf9a1,shared_default,35,False
NJ73,ageservice,371,568ad9be,plan_specific,1,True
NJ73,retdist,183,acc18cff,plan_specific,1,True
NJ73,wagerel,518,362a1736,plan_specific,1,True
NJ73,mortality,688,5a643539,plan_specific,1,False
NJ73,wagegrowth,232,342e5869,plan_specific,1,True
NJ73,withdrawal,368,99221b0d,plan_specific,1,True
NJ73,retirement,476,a8a198d5,plan_specific,1,False
NJ73,refund,284,99d19109,shared_default,36,False
NJ73,disability,286,8debf9a1,shared_default,35,False
NM74,ageservice,541,078c3e05,plan_specific,1,True
NM74,retdist,215,0f3da27b,plan_specific,1,True
NM74,wagerel,348,3a9bf08b,plan_specific,1,True
NM74,mortality,672,05c35cc5,plan_specific,1,False
NM74,wagegrowth,209,a9e00d5d,plan_specific,1,True
NM74,withdrawal,538,e5a4187d,plan_specific,1,True
NM74,retirement,430,4e6c7e81,plan_specific,1,False
NM74,refund,284,99d19109,shared_default,36,False
NM74,disability,286,8debf9a1,shared_default,35,False
NY78,ageservice,282,2eb054b1,plan_specific,1,True
NY78,retdist,183,dd2a0e37,plan_specific,1,True
NY78,wagerel,312,486655a8,plan_specific,1,True
NY78,mortality,508,e7aae417,plan_specific,1,True
NY78,wagegrowth,279,57271e59,plan_specific,1,True
NY78,withdrawal,1148,5659869e,plan_specific,1,True
NY78,retirement,542,27b026be,plan_specific,1,True
NY78,refund,284,99d19109,shared_default,36,False
NY78,disability,286,8debf9a1,shared_default,35,False
NY83,ageservice,470,50ead370,plan_specific,1,True
NY83,retdist,303,b0af0958,plan_specific,1,True
NY83,wagerel,431,efbdb0b7,plan_specific,1,True
NY83,mortality,633,b0b5f87a,plan_specific,1,False
NY83,wagegrowth,283,3009bf71,plan_specific,1,True
NY83,withdrawal,684,e9d3883e,plan_specific,1,True
