1,0.007071,0.007071,0.007071,0.00583,0.00583,0.00583
2,0.00041,0.00041,0.00041,0.000361,0.000361,0.000361
3,0.000277,0.000277,0.000277,0.000236,0.000236,0.000236
4,0.00023,0.00023,0.00023,0.000176,0.000176,0.000176
5,0.000179,0.000179,0.000179,0.000132,0.000132,0.000132
6,0.000157,0.000157,0.000157,0.000119,0.000119,0.000119
7,0.000141,0.000141,0.000141,0.00011,0.00011,0.00011
8,0.000124,0.000124,0.000124,0.000102,0.000102,0.000102
9,0.000105,0.000105,0.000105,0.000094,0.000094,0.000094
10,0.000085,0.000085,0.000085,0.000087,0.000087,0.000087
11,0.000072,0.000072,0.000072,0.000082,0.000082,0.000082
12,0.000076,0.000076,0.000076,0.000084,0.000084,0.000084
13,0.000113,0.000113,0.000113,0.000097,0.000097,0.000097
14,0.000149,0.000149,0.000149,0.00011,0.00011,0.00011
15,0.000183,0.000183,0.000183,0.000121,0.000121,0.000121
16,0.000218,0.000218,0.000218,0.000132,0.000132,0.000132
17,0.000253,0.000253,0.000253,0.000142,0.000142,0.000142
18,0.000328,0.000328,0.005744,0.000157,0.000157,0.002162
19,0.000369,0.000369,0.006462,0.000162,0.000162,0.002231
20,0.000406,0.000406,0.00711,0.000162,0.000162,0.002231
21,0.000449,0.000449,0.007863,0.000162,0.000162,0.002231
22,0.000488,0.000488,0.008546,0.000162,0.000162,0.002231
23,0.000509,0.000509,0.008914,0.000166,0.000166,0.002286
24,0.000516,0.000516,0.009036,0.000169,0.000169,0.002328
25,0.000484,0.000484,0.008476,0.000173,0.000173,0.002383
26,0.000462,0.000462,0.00809,0.000179,0.000179,0.002465
27,0.000449,0.000449,0.007863,0.000187,0.000187,0.002576
28,0.000444,0.000444,0.007775,0.000196,0.000196,0.0027
29,0.000446,0.000446,0.00781,0.000206,0.000206,0.002837
30,0.000452,0.000452,0.007915,0.000218,0.000218,0.003003
31,0.000463,0.000463,0.008108,0.000231,0.000231,0.003182
32,0.000477,0.000477,0.008353,0.000244,0.000244,0.003361
33,0.000492,0.000492,0.008616,0.000258,0.000258,0.003553
34,0.000508,0.000508,0.008896,0.000272,0.000272,0.003746
35,0.000523,0.000523,0.009159,0.000286,0.000286,0.003939
36,0.000536,0.000536,0.009386,0.0003,0.0003,0.004132
37,0.000551,0.000551,0.009649,0.000318,0.000318,0.00438
38,0.00057,0.00057,0.009982,0.000339,0.000339,0.004669
39,0.000595,0.000595,0.01042,0.000365,0.000365,0.005027
40,0.000628,0.000628,0.010997,0.000396,0.000396,0.005454
41,0.000671,0.000671,0.01175,0.000433,0.000433,0.005964
