planid,cityabv,plantype,fy,tier,tierid,agemin,agemax,servmin,servmax,employee,inactive
phx_gen19,phx,gen,19,1,phx_gen19_t1,65,70,35,40,7.653902798,
phx_gen19,phx,gen,19,2,phx_gen19_t2,20,24,0,4,,
phx_gen19,phx,gen,19,2,phx_gen19_t3,25,29,0,4,,
phx_gen19,phx,gen,19,2,phx_gen19_t2,30,34,0,4,,
phx_gen19,phx,gen,19,2,phx_gen19_t2,35,39,0,4,,
phx_gen19,phx,gen,19,2,phx_gen19_t2,40,44,0,4,,
phx_gen19,phx,gen,19,2,phx_gen19_t2,45,49,0,4,,
phx_gen19,phx,gen,19,2,phx_gen19_t2,50,54,0,4,,
phx_gen19,phx,gen,19,2,phx_gen19_t2,55,59,0,4,,
phx_gen19,phx,gen,19,2,phx_gen19_t2,60,64,0,4,,
phx_gen19,phx,gen,19,2,phx_gen19_t2,65,70,0,4,,
phx_gen19,phx,gen,19,2,phx_gen19_t2,20,24,5,9,,
phx_gen19,phx,gen,19,2,phx_gen19_t2,25,29,5,9,50.53846154,392.44
phx_gen19,phx,gen,19,2,phx_gen19_t2,30,34,5,9,148.0054945,2158.42
phx_gen19,phx,gen,19,2,phx_gen19_t2,35,39,5,9,108.2967033,4709.28
phx_gen19,phx,gen,19,2,phx_gen19_t2,40,44,5,9,83.02747253,6965.81
phx_gen19,phx,gen,19,2,phx_gen19_t2,45,49,5,9,83.02747253,8633.68
phx_gen19,phx,gen,19,2,phx_gen19_t2,50,54,5,9,68.58791209,9811
phx_gen19,phx,gen,19,2,phx_gen19_t2,55,59,5,9,57.75824176,9320.45
phx_gen19,phx,gen,19,2,phx_gen19_t2,60,64,5,9,43.31868132,3237.63
phx_gen19,phx,gen,19,2,phx_gen19_t2,65,70,5,9,14.43956044,
phx_gen19,phx,gen,19,2,phx_gen19_t2,20,24,10,14,,
phx_gen19,phx,gen,19,2,phx_gen19_t2,25,29,10,14,,
phx_gen19,phx,gen,19,2,phx_gen19_t2,30,34,10,14,,
phx_gen19,phx,gen,19,2,phx_gen19_t2,35,39,10,14,,
phx_gen19,phx,gen,19,2,phx_gen19_t2,40,44,10,14,,
phx_gen19,phx,gen,19,2,phx_gen19_t2,45,49,10,14,,
phx_gen19,phx,gen,19,2,phx_gen19_t2,50,54,10,14,,
phx_gen19,phx,gen,19,2,phx_gen19_t2,55,59,10,14,,
phx_gen19,phx,gen,19,2,phx_gen19_t2,60,64,10,14,,
phx_gen19,phx,gen,19,2,phx_gen19_t2,65,70,10,14,,
phx_gen19,phx,gen,19,2,phx_gen19_t2,20,24,15,19,,
phx_gen19,phx,gen,19,2,phx_gen19_t2,25,29,15,19,,
phx_gen19,phx,gen,19,2,phx_gen19_t2,30,34,15,19,,
phx_gen19,phx,gen,19,2,phx_gen19_t2,35,39,15,19,,
phx_gen19,phx,gen,19,2,phx_gen19_t2,40,44,15,19,,
phx_gen19,phx,gen,19,2,phx_gen19_t2,45,49,15,19,,
phx_gen19,phx,gen,19,2,phx_gen19_t2,50,54,15,19,,
phx_gen19,phx,gen,19,2,phx_gen19_t2,55,59,15,19,,
phx_gen19,phx,gen,19,2,phx_gen19_t2,60,64,15,19,,
phx_gen19,phx,gen,19,2,phx_gen19_t2,65,70,15,19,,
phx_gen19,phx,gen,19,2,phx_gen19_t2,20,24,20,24,,
phx_gen19,phx,gen,19,2,phx_gen19_t2,25,29,20,24,,
phx_gen19,phx,gen,19,2,phx_gen19_t2,30,34,20,24,,
phx_gen19,phx,gen,19,2,phx_gen19_t2,35,39,20,24,,
phx_gen19,phx,gen,19,2,phx_gen19_t2,40,44,20,24,,
phx_gen19,phx,gen,19,2,phx_gen19_t2,45,49,20,24,,
phx_gen19,phx,gen,19,2,phx_gen19_t2,50,54,20,24,,
phx_gen19,phx,gen,19,2,phx_gen19_t2,55,59,20,24,,
phx_gen19,phx,gen,19,2,phx_gen19_t2,60,64,20,24,,
phx_gen19,phx,gen,19,2,phx_gen19_t2,65,70,20,24,,
phx_gen19,phx,gen,19,2,phx_gen19_t2,20,24,25,29,,
phx_gen19,phx,gen,19,2,phx_gen19_t2,25,29,25,29,,
phx_gen19,phx,gen,19,2,phx_gen19_t2,30,34,25,29,,
phx_gen19,phx,gen,19,2,phx_gen19_t2,35,39,25,29,,
phx_gen19,phx,gen,19,2,phx_gen19_t2,40,44,25,29,,
phx_gen19,phx,gen,19,2,phx_gen19_t2,45,49,25,29,,
phx_gen19,phx,gen,19,2,phx_gen19_t2,50,54,25,29,,
phx_gen19,phx,gen,19,2,phx_gen19_t2,55,59,25,29,,
phx_gen19,phx,gen,19,2,phx_gen19_t2,60,64,25,29,,
phx_gen19,phx,gen,19,2,phx_gen19_t2,65,70,25,29,,
phx_gen19,phx,gen,19,2,phx_gen19_t2,20,24,30,34,,
phx_gen19,phx,gen,19,2,phx_gen19_t2,25,29,30,34,,
phx_gen19,phx,gen,19,2,phx_gen19_t2,30,34,30,34,,
