plan,target,status,score,exact,close,wrong,missing,extra,totals,n_tables,n_attempts,crash,run_dir,ppd
hou_pol,Ret_Rate,scored,1.0,189,0,0,0,0,none,1,1,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/hou_pol_Ret_Rate_20260727_152241,
hou_pol,Sep_Rate,scored,0.0,0,0,0,91,0,none,1,1,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/hou_pol_Sep_Rate_20260727_152312,
hou_pol,Avg_Mort,scored,0.0,0,0,60,40,0,none,2,1,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/hou_pol_Avg_Mort_20260727_152335,
hou_pol,Retirement,unavailable,,,,,,,none,1,2,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/hou_pol_Retirement_20260727_152427,
lax_ffpol,Age_Serv_Num,scored,1.0,48,0,0,0,0,clean,1,1,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/lax_ffpol_Age_Serv_Num_20260727_152502,ok
lax_ffpol,Age_Serv_Wage,scored,0.9167,44,0,4,0,0,none,2,2,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/lax_ffpol_Age_Serv_Wage_20260727_152550,
lax_ffpol,Ret_Rate,production,,,,,,,none,1,7,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/lax_ffpol_Ret_Rate_20260727_152714,
lax_ffpol,Sep_Rate,scored,0.3909,43,0,6,61,0,none,2,1,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/lax_ffpol_Sep_Rate_20260727_154039,
lax_ffpol,Avg_Mort,production,,,,,,,clean,5,4,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/lax_ffpol_Avg_Mort_20260727_154125,
lax_ffpol,Retirement,unavailable,,,,,,,none,1,2,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/lax_ffpol_Retirement_20260727_154419,
lax_gen,Age_Serv_Num,scored,0.9655,56,0,2,0,0,clean,1,1,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/lax_gen_Age_Serv_Num_20260727_154504,ok
lax_gen,Age_Serv_Wage,crash,,,,,,,,,8,response still violates the contract after 8 attempts: | source_tables[0].cells has 24 rows but 11 row_labels,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/lax_gen_Age_Serv_Wage_20260727_154540,
lax_gen,Ret_Rate,unavailable,,,,,,,none,1,2,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/lax_gen_Ret_Rate_20260727_155010,
lax_gen,Sep_Rate,scored,0.0,0,0,0,91,0,none,2,2,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/lax_gen_Sep_Rate_20260727_155119,
lax_gen,Avg_Mort,production,,,,,,,clean,3,2,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/lax_gen_Avg_Mort_20260727_155221,
lax_gen,Retirement,unavailable,,,,,,,none,0,2,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/lax_gen_Retirement_20260727_155356,
lax_uty,Age_Serv_Num,scored,1.0,58,0,0,0,0,suspect,1,7,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/lax_uty_Age_Serv_Num_20260727_155425,ok
lax_uty,Age_Serv_Wage,scored,1.0,59,0,0,0,15,suspect,2,8,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/lax_uty_Age_Serv_Wage_20260727_155609,
lax_uty,Ret_Rate,scored,0.6561,124,20,45,0,0,none,1,3,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/lax_uty_Ret_Rate_20260727_155942,
lax_uty,Sep_Rate,scored,0.1727,19,0,0,91,0,none,1,1,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/lax_uty_Sep_Rate_20260727_160824,
lax_uty,Avg_Mort,production,,,,,,,clean,4,1,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/lax_uty_Avg_Mort_20260727_160846,
lax_uty,Retirement,unavailable,,,,,,,none,1,2,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/lax_uty_Retirement_20260727_160927,
mil,Age_Serv_Num,scored,1.0,80,0,0,0,0,clean,3,5,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/mil_Age_Serv_Num_20260727_160946,ok
mil,Age_Serv_Wage,production,,,,,,,clean,13,7,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/mil_Age_Serv_Wage_20260727_161347,
mil,Ret_Rate,unavailable,,,,,,,none,0,1,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/mil_Ret_Rate_20260727_161831,
mil,Sep_Rate,scored,0.0,0,0,58,11,0,none,1,1,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/mil_Sep_Rate_20260727_161847,
mil,Avg_Mort,unavailable,,,,,,,none,4,2,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/mil_Avg_Mort_20260727_161917,
mil,Retirement,scored,0.0,0,0,18,4,0,clean,3,1,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/mil_Retirement_20260727_162026,
phi,Age_Serv_Num,scored,1.0,60,0,0,0,0,clean,1,1,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/phi_Age_Serv_Num_20260727_162106,ok
phi,Age_Serv_Wage,scored,1.0,60,0,0,0,20,clean,2,1,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/phi_Age_Serv_Wage_20260727_162143,
phi,Ret_Rate,unavailable,,,,,,,none,0,1,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/phi_Ret_Rate_20260727_162226,
phi,Sep_Rate,scored,0.1727,19,0,0,91,0,none,1,2,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/phi_Sep_Rate_20260727_162252,
phi,Avg_Mort,scored,0.0,0,0,0,100,0,none,3,2,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/phi_Avg_Mort_20260727_162335,
phi,Retirement,crash,,,,,,,,,8,"response still violates the contract after 8 attempts: | col_map[1] ('AverageBenefit'): ratio takes exactly TWO sources [numerator, denominator] (e.g. the total-dollars column then the count column)",/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/phi_Retirement_20260727_162420,
phx,Age_Serv_Num,scored,1.0,59,0,0,0,0,clean,1,1,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/phx_Age_Serv_Num_20260727_162651,ok
phx,Age_Serv_Wage,scored,0.9661,55,2,0,0,0,clean,2,1,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/phx_Age_Serv_Wage_20260727_162709,
phx,Ret_Rate,scored,0.8624,163,0,26,0,0,none,1,2,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/phx_Ret_Rate_20260727_162731,
phx,Sep_Rate,scored,0.7909,87,0,1,22,0,none,1,2,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/phx_Sep_Rate_20260727_162816,
phx,Avg_Mort,scored,0.55,55,0,20,25,0,clean,3,1,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/phx_Avg_Mort_20260727_162855,
phx,Retirement,scored,1.0,22,0,0,0,0,none,1,1,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/phx_Retirement_20260727_162937,
sd,Age_Serv_Num,scored,0.9206,58,0,5,0,0,clean,1,1,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/sd_Age_Serv_Num_20260727_162958,ok
sd,Age_Serv_Wage,scored,0.9123,52,1,4,0,0,none,2,4,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/sd_Age_Serv_Wage_20260727_163021,
sd,Ret_Rate,crash,,,,,,,,,7,"response still violates the contract after 7 attempts: | output-limit truncation (64000 tok): content=293948 chars, 2 source_tables, ~0 cell-rows, late-window recurs 882x -> LIKELY LOOP. [full text -> /orcd/scratch/orcd/011/ncomati/dumps/truncated_0_293948.txt] HEAD: '{   ""source_tables"": [     {   ",/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/sd_Ret_Rate_20260727_163205,
sd,Sep_Rate,scored,0.1818,20,0,6,84,0,none,1,1,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/sd_Sep_Rate_20260727_164254,
sd,Avg_Mort,crash,,,,,,,,,8,response still violates the contract after 8 attempts: | col_map[0] ('Death_Prob'): group_weighted requires weights_tables - one valid source_tables index per source (the group's transcribed headcount table),/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/sd_Avg_Mort_20260727_164318,
sd,Retirement,scored,0.0,0,0,0,22,0,clean,2,2,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/sd_Retirement_20260727_164911,
sf,Age_Serv_Num,scored,0.9875,79,0,1,0,0,clean,1,1,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/sf_Age_Serv_Num_20260727_165010,ok
sf,Age_Serv_Wage,scored,0.925,74,0,0,6,0,clean,2,1,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/sf_Age_Serv_Wage_20260727_165038,
sf,Ret_Rate,production,,,,,,,none,1,1,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/sf_Ret_Rate_20260727_165116,
sf,Sep_Rate,scored,0.3182,35,7,68,0,0,none,2,2,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/sf_Sep_Rate_20260727_165155,
sf,Avg_Mort,scored,0.0,0,0,80,20,0,clean,4,2,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/sf_Avg_Mort_20260727_165308,
sf,Retirement,scored,0.5,11,0,11,0,0,clean,2,2,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/sf_Retirement_20260727_165445,
