,3,7,11,20,25,30,35,40,45,50,55
20,28,0,0,0,0,0,0,0,0,0,0
25,13.5,16,0,0,0,0,0,0,0,0,0
30,13.5,8,6,6,0,0,0,0,0,0,0
35,13,7,3.5,3.5,0,0,0,0,0,0,0
40,11,6.5,3,3,0,0,0,0,0,0,0
45,10.5,6,2.3,2.3,0,0,0,0,0,0,0
50,10,5,2.4,2.4,0,0,0,0,0,0,0
55,10,5,2.75,2.75,0,0,0,0,0,0,0
60,10.5,5.5,5.5,5.5,0,0,0,0,0,0,0
64,13,6.5,6.5,0,0,0,0,0,0,0,0
70,0,0,0,0,0,0,0,0,0,0,0
