,0,1,2,4,5,6,7,8,55,,
25,28.5,22.2,17.8,11.8,10.3,8.5,8,4.4,4.4,,
30,28.5,22.2,17.8,11.8,10.3,8.5,8,7.3,7.3,,
35,28.5,22.2,17.8,11.8,10.3,8.5,8,7.3,7.3,,
40,28.5,22.2,17.8,11.8,10.3,8.5,8,5.8,5.8,,
45,28.5,22.2,17.8,11.8,10.3,8.5,8,4.4,4.4,,
50,28.5,22.2,17.8,11.8,10.3,8.5,8,3.6,3.6,,
55,28.5,22.2,17.8,11.8,10.3,8.5,8,3,3,,
60,28.5,22.2,17.8,11.8,10.3,8.5,8,2,2,,
65,28.5,22.2,17.8,11.8,10.3,8.5,8,2,2,,
70,28.5,22.2,17.8,11.8,10.3,8.5,8,2,2,,
75,28.5,22.2,17.8,11.8,10.3,8.5,8,2,2,,
