FIPS,planid,liability,assets,discount,method,benefitfactor,benefitfactor_new,cola,wage_inf,payroll,actives,inactive,retired,avgsalary,avgbenefit,reqcont,employeecont,employercont,totalcontr,pctmale,avgageret,nr,nr_new,pctmrg,reduct,pen,actgrowth20,actgrowth30,actgrowth40,actgrowthnat,actgrowthst,vesting,er,new_cola,new_vesting,new_er,ret_liability,inact_liability,PVFB,inflation,yrsal,new_yrsal,fiscal_year,ncrate_tot,calfct1,calfct2,calfct3,Mortality,ret_2019_0,ret_2020_0,ret_2019_1,ret_2020_1,ret_2019_3,ret_2020_3,ret_2019_5,ret_2020_5,at_2017,at_2018,at_2019,at_2020,est
38,ND82_2017,3734016.828,2379811.205,0.0775,1,0.02,0.02,0,0.0425,650052.674,10874,1600,8501,59779.99878,23398.79449,0.137267662,0.122004195,0.132387529,0.258682285,0.251149531,71.7,65,65,0.75,0.5,0.07,0.0135,0.0118,0.0146,0.0036,0.0132,3,33,0,5,35,2092923.83,89410.993,4582167.287,0.0275,3,5,2017,0.1206,1.534921699,0.849774024,-0.005691767,2,0.013134195,0.213272029,0.013134195,0.209563434,0.013134195,0.222467626,0.013134195,0.231557454,2360491,2530657.5,2616171,2650532.301,0
34,NJ71_2017,58291940.71,33401413.73,0.0765,2,0.018181818,0.016666667,0,0.0308,12493103.58,215439,20381.35,175631,57989.05296,20680.1329,0.194557516,0.074721901,0.129178514,0.205341952,0.400646255,73.26822155,55,65,1,0.5,0.03,0,-0.0026,1.00E-04,0.0036,-0.0012,10,50,0,10,50,34446462.46,58419.009,0,0.0308,3,5,2017,0.100640766,1.016963902,3.99854716,-0.002063136,2,0.019684696,0.205557285,0.019684696,0.201923336,0.019684696,0.214567003,0.019684696,0.223471986,28464240,29472374,29847978,NaN,1
34,NJ73_2017,63028940.94,26549410.22,0.0765,2,0.018181818,0.016666667,0,0.025,10636017.87,140988,206,103528,75467,40420.0424,0.254102365,0.073411856,0.104625408,0.178194717,0.230367123,72.37624604,55,65,0.75,0.5,0.03,0,-0.0026,1.00E-04,0.0036,-0.0012,10,50,0,10,50,40682369.09,32191.75,0,0.025,3,5,2017,0.111962729,1.148886942,1.614737148,0.001836671,2,0.019684696,0.205557285,0.019684696,0.201923336,0.019684696,0.214567003,0.019684696,0.223471986,23056162,22991116,22696734,NaN,1
35,NM74_2017,20194698.29,15124167.3,0.0725,1,0.03,0.025,0.02,0.0275,2204414.89,48751,5279,38011,45218,28732.9998,0.151536356,0.120185686,0.150821583,0.274586443,0.23,67.22,65,65,1,0.5,0.06,-0.0062,-0.0053,-3.00E-04,0.0036,-0.0028,5,25,0.02,8,50,13553822.29,416673.693,22683554.63,0.0225,3,5,2017,0.158100009,2.067997597,0.766190214,-0.000903566,0,-0.052591286,0.169334586,-0.052591286,0.165798397,-0.052591286,0.178102101,-0.052591286,0.186767942,14798918,15210483,15507546,14691984.21,0
36,NY78_2017,115672500,113059700,0.0725,1,0.02,0.0175,0.015,0.038,19161765,264761,8590,163818,73374,43237.07,0.117200048,0.008189087,0.117207936,0.125892078,0.23647365,70,62,63,0.8,0.5,0.065,5.00E-04,-0.0023,7.00E-04,0.0036,-8.00E-04,5,30,0.015,10,50,68408270,400179,127319123,0.0225,3,5,2017,0.1357,0.967173431,0.469367588,-0.013673685,2,-0.016313007,0.210403697,-0.016313007,0.206736365,-0.016313007,0.219496538,-0.016313007,0.228484174,115468360,119915520,122477480,120479504,0
36,NY83_2017,1.78E+08,1.68E+08,0.07,1,0.02,0.0175,0.01,0.038,25520218.2,496441,49291,417499,51406.34537,21705.68275,0.150763359,0.01168771,0.15075229,0.170088053,0.43,71.21,62,63,1,0.5,0.065,5.00E-04,-0.0023,7.00E-04,0.0036,-8.00E-04,5,30,0.01,10,40,100319958,3774443,202744793,0.025,3,5,2017,0.160699993,1.080868824,1.217806645,-0.001037718,1,-0.081344007,0.377337292,-0.081344007,0.377337292,-0.081344007,0.377337292,-0.081344007,0.377337292,168004368,180173152,182718128,168115680,0
39,OH88_2017,94630296,72216212,0.0745,1,0.025,0.022,0,0.03,9486758.24,162056,17874,157713,58540,44010,0.091273564,0.124890165,0.131025849,0.260644604,0.28,72,60,65,0.8,0.4,0.02,-0.0028,-0.0044,-0.0014,0.0036,-0.0029,5,30,0,5,32,69698136,1478055,0,0.025,3,5,2017,0.1065,0.768919678,0.430774369,0.002347448,2,-0.018460856,0.218020426,-0.018460856,0.214311836,-0.018460856,0.227215858,-0.018460856,0.236305311,71118704,73457568,74096240,72728360,0
40,OK134_2017,2403073,2447351,0.075,1,0.025,0.025,0.015,0.0375,313087.696,4695,132,3672,66685,30743.53322,0.164225553,0.076387544,0.124204817,0.310092032,0.5,72,50,50,0.85,1,0.06,0.002,0.0024,0.0041,0.0036,0.0032,10,20,0.015,10,20,1193676,17605,2977220,0.03,3,3,2017,0.2114,0.963843389,0.821298487,-0.013852536,2,0.00093705,0.252890172,0.00093705,0.249191261,0.00093705,0.262059729,0.00093705,0.271120987,2395381,2563446,2618857,2621311,0
41,OR91_2017,84056100,67326100,0.072,1,0.017155608,0.017155608,0.02,0.035,9850584.153,173002,45703,144982,56855,31032,0.09726455,0.001334804,0.103539215,0.104874018,0.5,71.7,60,65,1,0.5,0.06,0.0047,0.0064,0.0087,0.0036,0.0076,5,30,0.0125,5,30,55277500,4925100,0,0.025,3,3,2017,0.1159,0.997043604,1.251610757,0.003653524,2,-0.026881149,0.213893563,-0.026881149,0.210199631,-0.026881149,0.223052601,-0.026881149,0.232106008,66371704,69327504,70203720,68319296,0
42,PA92_2017,101848817,57336856,0.0725,1,0.025,0.02,0,0.0325,13033919,255945,24515,230014,50925,25287.00066,0.293458015,0.077785277,0.294061441,0.371846718,0.273125085,70.7,62,65,0.8,0.5,0.03,-0.0029,-0.0053,-0.0015,0.0036,-0.0034,5,35,0,10,35,56184146,1944846,120854765,0.0275,3,3,2017,0.151600003,1.131133342,0.953776516,-0.006507891,2,-0.003015295,0.142937421,-0.003015295,0.139433624,-0.003015295,0.151625322,-0.003015295,0.160213441,53155336,56363712,58733884,58556784,0
42,PA93_2017,48439403.5,28776938.77,0.0725,1,0.02,0.0125,0,0.029,5984361,102978,6815,129473,58113,22470.57295,0.300641605,0.061189889,0.302854349,0.364044238,0.561042164,69.30000305,60,67,0.8,0.5625,0.06,-0.0029,-0.0053,-0.0015,0.0036,-0.0034,5,35,0,5,35,27798044.8,0,55758524.03,0.026,3,5,2017,0.111299999,1.472170963,NaN,-0.010801897,1,0.144668547,0.066183047,0.144668547,0.058780314,0.144668547,0.084662725,0.144668547,0.103104271,29405042,26936990,31096320,NaN,1
44,RI96_2017,1914332.642,1505338.02,0.07,1,0.02,0.02,0,0.0325,344325.485,7501,600.08,5437,45903.99933,17351.99928,0.140979428,0.050570213,0.140979481,0.207793826,0.5,71.86,60,65,0.8,0.5,0.06,-0.0027,-0.0065,-0.002,0.0036,-0.0043,10,33,0,10,33,1113855.57,0,0,0.025,3,5,2017,0.124399997,1.075410727,NaN,0.017420785,2,0.023890411,0.207851837,0.023890411,0.204190348,0.023890411,0.216930136,0.023890411,0.225903324,1480293,1560456.75,1625140.25,1663965.518,0
45,SC100_2017,48374725,27241570,0.0725,1,0.0182,0.0182,0.01,0.03,8270871.185,193985,21734,140288,42637.00104,20256.00052,0.136024979,0.096189231,0.136024979,0.23221421,0.310322963,70.16,65,65,1,0.5,0.05,0.0063,0.0063,0.0083,0.0036,0.0073,5,28,0.01,8,35,30745598,886346,55100265,0.0225,3,5,2017,0.107200004,1.056549437,0.881715821,-0.005682424,1,-0.034815569,0.195946137,-0.034815569,0.1923064,-0.034815569,0.204970704,-0.034815569,0.213891058,25732828,26414916,27238916,26292418,0
45,SC99_2017,7109612,4480894,0.0725,1,0.0214,0.0214,0.01,0.0125,1213975.664,27056,2649,17887,44869,20233.867,0.151985967,0.101194161,0.151985967,0.253180128,0.742,64,62,62,1,1,0.06,0.0063,0.0063,0.0083,0.0036,0.0073,5,25,0.01,8,27,4136503,164193,8474191,0.0225,3,5,2017,0.1473,1.13198636,0.919028311,-0.012861274,1,-0.017772029,0.205899298,-0.017772029,0.202234356,-0.017772029,0.214986306,-0.017772029,0.223968305,4274123,4570431,4815809,4730175,0
48,TX108_2017,181752992,146282044,0.08,1,0.023,0.023,0,0.035,40904000,864261,98110,407768,47330,23598.02437,0.077463232,0.077,0.077,0.154,0.224,60.2,65,65,0.8,0.5,0.02,0.0128,0.0124,0.0132,0.0036,0.0128,5,30,0,5,30,92034520.5,5035628.298,216125270.1,0.025,3,5,2017,0.100600004,1.089845184,0.69354675,-0.000474752,2,0.047019929,0.131546639,0.047019929,0.126545778,0.047019929,0.143975846,0.047019929,0.156303118,147361920,154568896,157978192,165416240,0
