,0,1,3,4,6,7,8,9,10,25,40
20,45,30,22,14,10,8,7,6,5,5,5
25,29,20.7,20,11.8,20,8,7,6,5,5,5
30,29,19.2,17,10.8,10,8,7,6,5,5,5
35,29,17.7,13,9.8,10,8,7,6,5,5,5
40,26.5,16.2,11,8.8,10,8,7,6,5,5,5
45,24,14.7,8,7.8,8,7,6,5,4,4,4
50,21.5,13.2,8,6.8,8,7,6,5,4,4,4
55,19,11.7,8,5.8,8,7,6,5,4,4,4
60,16.5,10.2,8,4.8,8,7,6,5,4,4,4
65,16.5,10.2,8,4.8,8,7,6,5,4,4,4
70,16.5,10.2,8,4.8,8,7,6,5,4,4,4
