,0,1,2,3,4,10,15,40,45,50,55
20,21,11,7,6,5,3,3,3,3,3,3
25,21,11,7,6,5,3,3,3,3,3,3
30,21,11,7,6,5,2.82,2.82,2.82,2.82,2.82,2.82
35,21,11,7,6,5,2.22,2.22,2.22,2.22,2.22,2.22
40,21,11,7,6,5,1.66,1.66,1.66,1.66,1.66,1.66
45,21,11,7,6,5,1.32,1.32,1.32,1.32,1.32,1.32
50,21,11,7,6,5,1.2,1.2,1.2,1.2,1.2,1.2
55,21,11,7,6,5,1.2,1.2,1.2,1.2,1.2,1.2
60,21,11,7,6,5,1.2,1.2,1.2,1.2,1.2,1.2
65,21,11,7,6,5,1.2,1.2,1.2,1.2,1.2,1.2
70,21,11,7,6,5,1.2,1.2,1.2,1.2,1.2,1.2
